,acteurs,director,href,jaartal,rank,rating,samenvatting,titel
201,"['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert']",Richard Linklater,https://www.imdb.com//title/tt0112471/,1995,202,8.1,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Before Sunrise
202,"['Sener Sen', 'Ugur Yücel', 'Sermin Hürmeriç']",Yavuz Turgul,https://www.imdb.com//title/tt0116231/,1996,203,8.1,"Baran the Bandit, released from prison after 35 years searches for vengeance and his lover.",Eskiya
203,"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis']",Denis Villeneuve,https://www.imdb.com//title/tt1392214/,2013,204,8.1,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Prisoners
204,"['Yves Montand', 'Charles Vanel', 'Peter van Eyck']",Henri-Georges Clouzot,https://www.imdb.com//title/tt0046268/,1953,205,8.1,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Le salaire de la peur
205,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult']",George Miller,https://www.imdb.com//title/tt1392190/,2015,206,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",Mad Max: Fury Road
206,"['Daniel Brühl', 'Chris Hemsworth', 'Olivia Wilde']",Ron Howard,https://www.imdb.com//title/tt1979320/,2013,207,8.1,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Rush
207,"['Richard Gere', 'Joan Allen', 'Cary-Hiroyuki Tagawa']",Lasse Hallström,https://www.imdb.com//title/tt1028532/,2009,208,8.1,A college professor bonds with an abandoned dog he takes into his home.,Hachi: A Dog's Tale
208,"['Anatoliy Solonitsyn', 'Ivan Lapikov', 'Nikolay Grinko']",Andrei Tarkovsky (as Andrey Tarkovskiy),https://www.imdb.com//title/tt0060107/,1966,209,8.1,"The life, times and afflictions of the fifteenth-century Russian iconographer.",Andrei Rublev
209,"['Jean-Pierre Léaud', 'Albert Rémy', 'Claire Maurier']",François Truffaut,https://www.imdb.com//title/tt0053198/,1959,210,8.1,"A young boy, left without attention, delves into a life of petty crime.",Les quatre cents coups
210,"['Hugh Jackman', 'Patrick Stewart', 'Dafne Keen']",James Mangold,https://www.imdb.com//title/tt3315342/,2017,211,8.1,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",Logan
211,"['Maria Falconetti', 'Eugene Silvain', 'André Berley']",Carl Theodor Dreyer (as Carl Th. Dreyer),https://www.imdb.com//title/tt0019254/,1928,212,8.1,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",La passion de Jeanne d'Arc
212,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams']",Tom McCarthy,https://www.imdb.com//title/tt1895587/,2015,213,8.1,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Spotlight
