,acteurs,director,href,jaartal,rank,rating,samenvatting,titel
22,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",George Lucas,https://www.imdb.com//title/tt0076759/,1977,23,8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Star Wars: Episode IV - A New Hope
23,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney']",Jonathan Demme,https://www.imdb.com//title/tt0102926/,1991,24,8.6,"A young F.B.I. cadet (Jodie Foster) must receive the help of an incarcerated and manipulative cannibal killer (Sir Anthony Hopkins) to help catch another serial killer (Ted Levine), a madman who skins his victims.",The Silence of the Lambs
24,"['James Stewart', 'Donna Reed', 'Lionel Barrymore']",Frank Capra,https://www.imdb.com//title/tt0038650/,1946,25,8.6,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,It's a Wonderful Life
25,"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini']",Roberto Benigni,https://www.imdb.com//title/tt0118799/,1997,26,8.6,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",La vita è bella
26,"['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino']","Directors:
Hayao Miyazaki, Kirk Wise",https://www.imdb.com//title/tt0245429/,2001,27,8.5,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",De reis van Chihiro
27,"['Tom Hanks', 'Matt Damon', 'Tom Sizemore']",Steven Spielberg,https://www.imdb.com//title/tt0120815/,1998,28,8.5,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Saving Private Ryan
28,"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri']",Bryan Singer,https://www.imdb.com//title/tt0114814/,1995,29,8.5,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",The Usual Suspects
29,"['Jean Reno', 'Gary Oldman', 'Natalie Portman']",Luc Besson,https://www.imdb.com//title/tt0110413/,1994,30,8.5,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.",Léon
30,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse']",Frank Darabont,https://www.imdb.com//title/tt0120689/,1999,31,8.5,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",The Green Mile
31,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain']",Christopher Nolan,https://www.imdb.com//title/tt0816692/,2014,32,8.5,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Interstellar
32,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles']",Alfred Hitchcock,https://www.imdb.com//title/tt0054215/,1960,33,8.5,"A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Psycho
33,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo""]",Tony Kaye,https://www.imdb.com//title/tt0120586/,1998,34,8.5,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,American History X
34,"['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee']",Charles Chaplin,https://www.imdb.com//title/tt0021749/,1931,35,8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",City Lights
35,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid']",Michael Curtiz,https://www.imdb.com//title/tt0034583/,1942,36,8.5,A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,Casablanca
36,"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale']",Sergio Leone,https://www.imdb.com//title/tt0064116/,1968,37,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Once Upon a Time in the West
37,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay']",Roman Polanski,https://www.imdb.com//title/tt0253474/,2002,38,8.5,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,The Pianist
38,"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman']",Charles Chaplin (as Charlie Chaplin),https://www.imdb.com//title/tt0027977/,1936,39,8.5,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Modern Times
39,"['François Cluzet', 'Omar Sy', 'Anne Le Ny']","Directors:
Olivier Nakache, Éric Toledano",https://www.imdb.com//title/tt1675434/,2011,40,8.5,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",The Intouchables
40,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson']",Martin Scorsese,https://www.imdb.com//title/tt0407887/,2006,41,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,The Departed
41,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']",Robert Zemeckis,https://www.imdb.com//title/tt0088763/,1985,42,8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",Back to the Future
42,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong']",James Cameron,https://www.imdb.com//title/tt0103064/,1991,43,8.5,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",Terminator 2: Judgment Day
43,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist']",Damien Chazelle,https://www.imdb.com//title/tt2582802/,2014,44,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Whiplash
44,"['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones']","Directors:
Roger Allers, Rob Minkoff",https://www.imdb.com//title/tt0110357/,1994,45,8.5,"A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.",The Lion King
45,"['James Stewart', 'Grace Kelly', 'Wendell Corey']",Alfred Hitchcock,https://www.imdb.com//title/tt0047396/,1954,46,8.5,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,Rear Window
46,"['Harrison Ford', 'Karen Allen', 'Paul Freeman']",Steven Spielberg,https://www.imdb.com//title/tt0082971/,1981,47,8.5,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",Indiana Jones and the Raiders of the Lost Ark
47,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen']",Ridley Scott,https://www.imdb.com//title/tt0172495/,2000,48,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Gladiator
48,"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson']",Christopher Nolan,https://www.imdb.com//title/tt0482571/,2006,49,8.5,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",The Prestige
49,"['Martin Sheen', 'Marlon Brando', 'Robert Duvall']",Francis Ford Coppola (as Francis Coppola),https://www.imdb.com//title/tt0078788/,1979,50,8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Apocalypse Now
50,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano']",Christopher Nolan,https://www.imdb.com//title/tt0209144/,2000,51,8.4,A man with short-term memory loss attempts to track down his wife's murderer.,Memento
51,"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt']",Ridley Scott,https://www.imdb.com//title/tt0078748/,1979,52,8.4,"After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun.",Alien
52,"['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld']","Directors:
Bob Persichetti, Peter Ramsey |
1 more credit »",https://www.imdb.com//title/tt4633694/,2018,53,8.4,"Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.",Spider-Man: Into the Spider-Verse
53,"['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi']",Isao Takahata,https://www.imdb.com//title/tt0095327/,1988,54,8.4,A young boy and his little sister struggle to survive in Japan during World War II.,Hotaru no haka
54,"['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili']",Giuseppe Tornatore,https://www.imdb.com//title/tt0095765/,1988,55,8.4,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Nuovo Cinema Paradiso
55,"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie']",Charles Chaplin,https://www.imdb.com//title/tt0032553/,1940,56,8.4,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,De dictator
56,"['William Holden', 'Gloria Swanson', 'Erich von Stroheim']",Billy Wilder,https://www.imdb.com//title/tt0043014/,1950,57,8.4,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Sunset Blvd.
57,"['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch']",Florian Henckel von Donnersmarck,https://www.imdb.com//title/tt0405094/,2006,58,8.4,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Das Leben der Anderen
58,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden']",Stanley Kubrick,https://www.imdb.com//title/tt0057012/,1964,59,8.4,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
59,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']","Directors:
Anthony Russo, Joe Russo",https://www.imdb.com//title/tt4154756/,2018,60,8.4,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Avengers: Infinity War
60,"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou']",Stanley Kubrick,https://www.imdb.com//title/tt0050825/,1957,61,8.4,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",Paths of Glory
61,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio']",Quentin Tarantino,https://www.imdb.com//title/tt1853728/,2012,62,8.4,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",Django Unchained
62,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd']",Stanley Kubrick,https://www.imdb.com//title/tt0081505/,1980,63,8.4,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",The Shining
63,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']",Andrew Stanton,https://www.imdb.com//title/tt0910970/,2008,64,8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",WALL·E
64,"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka']",Hayao Miyazaki,https://www.imdb.com//title/tt0119698/,1997,65,8.4,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Mononoke-hime
65,"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton']",Billy Wilder,https://www.imdb.com//title/tt0051201/,1957,66,8.4,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Witness for the Prosecution
66,"['Min-sik Choi', 'Ji-tae Yu', 'Hye-jeong Kang']",Chan-wook Park,https://www.imdb.com//title/tt0364569/,2003,67,8.3,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Oldeuboi
67,"['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn']",James Cameron,https://www.imdb.com//title/tt0090605/,1986,68,8.3,"Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?",Aliens
68,"['Christian Bale', 'Tom Hardy', 'Anne Hathaway']",Christopher Nolan,https://www.imdb.com//title/tt1345836/,2012,69,8.3,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.",The Dark Knight Rises
69,"['Kevin Spacey', 'Annette Bening', 'Thora Birch']",Sam Mendes,https://www.imdb.com//title/tt0169547/,1999,70,8.3,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,American Beauty
70,"['Robert De Niro', 'James Woods', 'Elizabeth McGovern']",Sergio Leone,https://www.imdb.com//title/tt0087843/,1984,71,8.3,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",Once Upon a Time in America
71,"['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt']","Directors:
Lee Unkrich, Adrian Molina (co-director)",https://www.imdb.com//title/tt2380307/,2017,72,8.3,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Coco
72,"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann']",Wolfgang Petersen,https://www.imdb.com//title/tt0082096/,1981,73,8.3,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",Das Boot
73,"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore']",Orson Welles,https://www.imdb.com//title/tt0033467/,1941,74,8.3,"Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.",Citizen Kane
74,"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan']",Mel Gibson,https://www.imdb.com//title/tt0112573/,1995,75,8.3,"When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.",Braveheart
75,"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes']",Alfred Hitchcock,https://www.imdb.com//title/tt0052357/,1958,76,8.3,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,Vertigo
76,"['Cary Grant', 'Eva Marie Saint', 'James Mason']",Alfred Hitchcock,https://www.imdb.com//title/tt0053125/,1959,77,8.3,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,North by Northwest
77,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen']",Quentin Tarantino,https://www.imdb.com//title/tt0105236/,1992,78,8.3,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Reservoir Dogs
78,"['Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryô Narita']",Makoto Shinkai,https://www.imdb.com//title/tt5311514/,2016,79,8.3,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Kimi no na wa.
79,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",Richard Marquand,https://www.imdb.com//title/tt0086190/,1983,80,8.3,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Star Wars: Episode VI - Return of the Jedi
80,"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut']",Fritz Lang,https://www.imdb.com//title/tt0022100/,1931,81,8.3,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",M - Eine Stadt sucht einen Mörder
81,"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge']",Milos Forman,https://www.imdb.com//title/tt0086879/,1984,82,8.3,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",Amadeus
82,"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly']",Darren Aronofsky,https://www.imdb.com//title/tt0180093/,2000,83,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Requiem for a Dream
83,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh']",Nitesh Tiwari,https://www.imdb.com//title/tt5074352/,2016,84,8.3,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Dangal
84,"['Aamir Khan', 'Madhavan', 'Mona Singh']",Rajkumar Hirani,https://www.imdb.com//title/tt1187043/,2009,85,8.3,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",3 Idiots
85,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester']",Stanley Kubrick,https://www.imdb.com//title/tt0062622/,1968,86,8.3,"After discovering a mysterious artifact buried beneath the lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer HAL 9000.",2001: A Space Odyssey
86,"['Tom Hanks', 'Tim Allen', 'Don Rickles']",John Lasseter,https://www.imdb.com//title/tt0114709/,1995,87,8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,Toy Story
87,"['Darsheel Safary', 'Aamir Khan', 'Tisca Chopra']","Directors:
Aamir Khan, Amole Gupte (uncredited)",https://www.imdb.com//title/tt0986264/,2007,88,8.3,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",Taare Zameen Par
88,"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson']",Michel Gondry,https://www.imdb.com//title/tt0338013/,2004,89,8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",Eternal Sunshine of the Spotless Mind
89,"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn']",David Lean,https://www.imdb.com//title/tt0056172/,1962,90,8.3,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",Lawrence of Arabia
90,"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates']",Stanley Kubrick,https://www.imdb.com//title/tt0066921/,1971,91,8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",A Clockwork Orange
91,"['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds']","Directors:
Stanley Donen, Gene Kelly",https://www.imdb.com//title/tt0045152/,1952,92,8.3,A silent film production company and cast make a difficult transition to sound.,Singin' in the Rain
92,"['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus']",Jean-Pierre Jeunet,https://www.imdb.com//title/tt0211915/,2001,93,8.3,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",Amélie
93,"['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson']",Billy Wilder,https://www.imdb.com//title/tt0036775/,1944,94,8.3,An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,Double Indemnity
94,"['Brad Pitt', 'Diane Kruger', 'Eli Roth']","Directors:
Quentin Tarantino, Eli Roth (uncredited)",https://www.imdb.com//title/tt0361748/,2009,95,8.3,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Inglourious Basterds
95,"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd']",Martin Scorsese,https://www.imdb.com//title/tt0075314/,1976,96,8.3,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",Taxi Driver
96,"['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio""]",Stanley Kubrick,https://www.imdb.com//title/tt0093058/,1987,97,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Full Metal Jacket
97,"['Gregory Peck', 'John Megna', 'Frank Overton']",Robert Mulligan,https://www.imdb.com//title/tt0056592/,1962,98,8.3,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",To Kill a Mockingbird
98,"['Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell']",Vittorio De Sica,https://www.imdb.com//title/tt0040522/,1948,99,8.3,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",Ladri di biciclette
99,"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan']",Charles Chaplin (as Charlie Chaplin),https://www.imdb.com//title/tt0012349/,1921,100,8.3,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",The Kid
100,"['Robin Williams', 'Matt Damon', 'Ben Affleck']",Gus Van Sant,https://www.imdb.com//title/tt0119217/,1997,101,8.3,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Good Will Hunting
101,"['Paul Newman', 'Robert Redford', 'Robert Shaw']",George Roy Hill,https://www.imdb.com//title/tt0070735/,1973,102,8.3,Two grifters team up to pull off the ultimate con.,The Sting
102,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp']",Thomas Vinterberg,https://www.imdb.com//title/tt2106476/,2012,103,8.3,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Jagten
103,"['Tom Hanks', 'Tim Allen', 'Joan Cusack']",Lee Unkrich,https://www.imdb.com//title/tt0435761/,2010,104,8.3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Toy Story 3
104,"['Jason Statham', 'Brad Pitt', 'Benicio Del Toro']",Guy Ritchie,https://www.imdb.com//title/tt0208092/,2000,105,8.3,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Snatch
105,"['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer']",Brian De Palma,https://www.imdb.com//title/tt0086250/,1983,106,8.2,"In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",Scarface
106,"['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè']",Sergio Leone,https://www.imdb.com//title/tt0059578/,1965,107,8.2,Two bounty hunters with the same intentions team up to track down a Western outlaw.,Per qualche dollaro in più
107,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray']",Billy Wilder,https://www.imdb.com//title/tt0053604/,1960,108,8.2,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",The Apartment
108,"['Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich']",Fritz Lang,https://www.imdb.com//title/tt0017136/,1927,109,8.2,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",Metropolis
109,"['Graham Chapman', 'John Cleese', 'Eric Idle']","Directors:
Terry Gilliam, Terry Jones",https://www.imdb.com//title/tt0071853/,1975,110,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Monty Python and the Holy Grail
110,"['Kevin Spacey', 'Russell Crowe', 'Guy Pearce']",Curtis Hanson,https://www.imdb.com//title/tt0119488/,1997,111,8.2,"As corruption grows in 1950s Los Angeles, three policemen -- one strait-laced, one brutal, and one sleazy -- investigate a series of murders with their own brand of justice.",L.A. Confidential
111,"['Payman Maadi', 'Leila Hatami', 'Sareh Bayat']",Asghar Farhadi,https://www.imdb.com//title/tt1832382/,2011,112,8.2,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Jodaeiye Nader az Simin
112,"['Harrison Ford', 'Sean Connery', 'Alison Doody']",Steven Spielberg,https://www.imdb.com//title/tt0097576/,1989,113,8.2,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",Indiana Jones and the Last Crusade
113,"['Edward Asner', 'Jordan Nagai', 'John Ratzenberger']","Directors:
Pete Docter, Bob Peterson (co-director)",https://www.imdb.com//title/tt1049413/,2009,114,8.2,"Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.",Up
114,"['Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori']",Akira Kurosawa,https://www.imdb.com//title/tt0042876/,1950,115,8.2,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Rashômon
115,"['Bette Davis', 'Anne Baxter', 'George Sanders']",Joseph L. Mankiewicz,https://www.imdb.com//title/tt0042192/,1950,116,8.2,An ingenue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.,All About Eve
116,"['Christian Bale', 'Michael Caine', 'Ken Watanabe']",Christopher Nolan,https://www.imdb.com//title/tt0372784/,2005,117,8.2,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Batman Begins
117,"['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon']",Billy Wilder,https://www.imdb.com//title/tt0053291/,1959,118,8.2,"When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Some Like It Hot
118,"['Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai']",Akira Kurosawa,https://www.imdb.com//title/tt0055630/,1961,119,8.2,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Yôjinbô
119,"['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes']",Oliver Hirschbiegel,https://www.imdb.com//title/tt0363163/,2004,120,8.2,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Der Untergang
120,"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman']",Clint Eastwood,https://www.imdb.com//title/tt0105695/,1992,121,8.2,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man.",Unforgiven
121,"['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia']",John McTiernan,https://www.imdb.com//title/tt0095016/,1988,122,8.2,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,Die Hard
122,"['Al Pacino', 'Robert De Niro', 'Val Kilmer']",Michael Mann,https://www.imdb.com//title/tt0113277/,1995,123,8.2,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,Heat
123,"['Humphrey Bogart', 'Walter Huston', 'Tim Holt']",John Huston,https://www.imdb.com//title/tt0040897/,1948,124,8.2,"Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.",The Treasure of the Sierra Madre
124,"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette']",Denis Villeneuve,https://www.imdb.com//title/tt1255953/,2010,125,8.2,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Incendies
